Katastralgemeindenummer;Katastralgemeinde_Name;Bundesland;GWA;NAPV Anlage 5 Gebiet;Faktor für Saldo;GW-Acker Layer;Feuchtgebiet;Trockengebiet
43112;Schwertberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43113;Windegg;Oberösterreich;;;;;;
43201;Allerheiligen;Oberösterreich;;;;;;
43202;Altenburg;Oberösterreich;;;;;;
43203;Arbing;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43204;Au;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43205;Baumgarten;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43206;Baumgartenberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43207;Hofstetten;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43208;Innernstein;Oberösterreich;;;;;;
43209;Langacker;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43210;Lebing;Oberösterreich;;;;;;
43211;Mitterkirchen;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43212;Münzbach;Oberösterreich;;;;;;
43213;Naarn;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43214;Perg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43215;Pergkirchen;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43216;Puchberg im Machlande I;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43217;Rechberg;Oberösterreich;;;;;;
43218;Ruprechtshofen;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43219;Weinzierl;Oberösterreich;X;;0,6;Feuchtgebiet;X;
43220;Windhaag bei Perg;Oberösterreich;;;;;;
43221;Puchberg im Machlande II;Oberösterreich;X;;0,6;Feuchtgebiet;X;
44001;Atschenbach;Oberösterreich;;;;;;
44002;Damberg;Oberösterreich;;;;;;
44003;Enzendorf;Oberösterreich;;;;;;
44004;Forsthof;Oberösterreich;;;;;;
44005;Gallspach;Oberösterreich;;;;;;
44006;Gassen;Oberösterreich;;;;;;
44007;Grieskirchen;Oberösterreich;;;;;;
44008;Grub;Oberösterreich;;;;;;
44009;Haus;Oberösterreich;;;;;;
44010;Hofkirchen;Oberösterreich;;;;;;
44011;Kematen;Oberösterreich;;;;;;
44012;Keneding;Oberösterreich;;;;;;
44013;Korntnerberg;Oberösterreich;;;;;;
44014;Manglburg;Oberösterreich;;;;;;
44015;Mauer;Oberösterreich;;;;;;
44016;Meggenhofen;Oberösterreich;;;;;;
44017;Michaelnbach;Oberösterreich;;;;;;
44018;Mödelbach;Oberösterreich;;;;;;
44019;Neumarkt;Oberösterreich;;;;;;
44020;Parz;Oberösterreich;;;;;;
44021;Pfarrhofsberg;Oberösterreich;;;;;;
44022;Pfleg;Oberösterreich;;;;;;
44023;Pollham;Oberösterreich;;;;;;
44024;Pötting;Oberösterreich;;;;;;
44025;Roith;Oberösterreich;;;;;;
44026;St. Georgen;Oberösterreich;;;;;;
44027;St. Thomas;Oberösterreich;;;;;;
44028;Schallbach;Oberösterreich;;;;;;
44029;Schlüßlberg;Oberösterreich;;;;;;
44030;Schönau;Oberösterreich;;;;;;
44031;Spielmannsberg;Oberösterreich;;;;;;
44032;Steinerkirchen;Oberösterreich;;;;;;
44033;Still;Oberösterreich;;;;;;
44034;Straß;Oberösterreich;;;;;;
44035;Tollet;Oberösterreich;;;;;;
44036;Tolleterau;Oberösterreich;;;;;;
44037;Trattenegg;Oberösterreich;;;;;;
44038;Uttenthal;Oberösterreich;;;;;;
44039;Wallern;Oberösterreich;;;;;;
44040;Weinberg;Oberösterreich;;;;;;
44041;Widldorf;Oberösterreich;;;;;;
44042;Wilhelmsberg;Oberösterreich;;;;;;
44101;Aflang;Oberösterreich;;;;;;
44102;Aistersheim;Oberösterreich;;;;;;
44103;Altenhof;Oberösterreich;;;;;;
44104;Dirisam;Oberösterreich;;;;;;
44105;Fading;Oberösterreich;;;;;;
44106;Feldegg;Oberösterreich;;;;;;
44107;Gaspoltshofen;Oberösterreich;;;;;;
44108;Geboltskirchen;Oberösterreich;;;;;;
44109;Gries;Oberösterreich;;;;;;
44110;Großwaldenberg;Oberösterreich;;;;;;
44111;Höft;Oberösterreich;;;;;;
44112;Hörbach;Oberösterreich;;;;;;
44113;Innernsee;Oberösterreich;;;;;;
44114;Jeding;Oberösterreich;;;;;;
44115;Niederentern;Oberösterreich;;;;;;
44116;Niedernhaag;Oberösterreich;;;;;;
44117;Obernhaag;Oberösterreich;;;;;;
44118;Pram;Oberösterreich;;;;;;
44119;Rottenbach;Oberösterreich;;;;;;
44120;Schwarzgrub;Oberösterreich;;;;;;
44121;Weibern;Oberösterreich;;;;;;
44122;Wendling;Oberösterreich;;;;;;
44123;Zupfing;Oberösterreich;;;;;;
44201;Bruck;Oberösterreich;;;;;;
44202;Erlach;Oberösterreich;;;;;;
44203;Eschenau;Oberösterreich;;;;;;
44204;Heiligenberg;Oberösterreich;;;;;;
44205;Kallham;Oberösterreich;;;;;;
44206;Kimpling;Oberösterreich;;;;;;
44207;Königsdorf;Oberösterreich;;;;;;
44208;Manzing;Oberösterreich;;;;;;
44209;Natternbach;Oberösterreich;;;;;;
44210;Neukirchen;Oberösterreich;;;;;;
44211;Peuerbach;Oberösterreich;;;;;;
44212;St. Agatha;Oberösterreich;;;;;;
44213;St. Sixt;Oberösterreich;;;;;;
44214;Steegen;Oberösterreich;;;;;;
44215;Waasen;Oberösterreich;;;;;;
44216;Waizenkirchen;Oberösterreich;;;;;;
44217;Weidenholz;Oberösterreich;;;;;;
45001;Alkoven;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45002;Annaberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45003;Aschach an der Donau;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45004;Dachsberg;Oberösterreich;;;;;;
45005;Eferding;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45006;Finklham;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45007;Fraham;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45008;Fürneredt;Oberösterreich;;;;;;
45009;Gallham;Oberösterreich;;;;;;
45010;Großstroheim;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45011;Haibach;Oberösterreich;;;;;;
45012;Hartheim;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45013;Hartkirchen;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45014;Hinzenbach;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45015;Hörstorf;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45016;Lengau;Oberösterreich;;;;;;
45017;Mannsdorf;Oberösterreich;;;;;;
45018;Mayrhof;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45019;Oberrudling;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45020;Oberschaden;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45021;Oed in Bergen;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45022;Pernau;Oberösterreich;;;;;;
45023;Polsing;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45024;Puchham;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45025;Pupping;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45026;St. Marienkirchen an der Polsenz;Oberösterreich;;;;;;
